feature,feature_label,importance
slope,Slope (°),0.010512040839582371
tpi_50px,TPI 50px (5 m),0.017441025326370686
tpi_250px,TPI 250px (25 m),0.6716762859798144
tpi_500px,TPI 500px (50 m),0.15754852054974253
wi_E,WI E (90°),0.22853302776051185
wi_SE,WI SE (135°),0.01873566287120466
dr_E,Dir. Relief E,0.42745132364800115
dr_SE,Dir. Relief SE,0.1860348608649643
dr_SW,Dir. Relief SW,0.3268305226606113
dr_W,Dir. Relief W,0.22791979363420842
