feature,feature_label,importance
slope,Slope (°),0.0024615812589603436
tpi_50px,TPI 50px (5 m),0.049033715504542594
tpi_250px,TPI 250px (25 m),0.27965106193641254
tpi_500px,TPI 500px (50 m),0.061964969589752596
wi_E,WI E (90°),0.1336401786180897
wi_SE,WI SE (135°),0.020991618049991022
dr_E,Dir. Relief E,0.19494629220371545
dr_SE,Dir. Relief SE,0.2276213247459979
dr_SW,Dir. Relief SW,0.7765707546646048
dr_W,Dir. Relief W,0.2686446426629447
