feature,feature_label,importance
slope,Slope (°),0.009223444454588581
tpi_50px,TPI 50px (5 m),0.14639880261719695
tpi_250px,TPI 250px (25 m),0.3951708588322026
tpi_500px,TPI 500px (50 m),0.2172325259556322
wi_E,WI E (90°),0.25438226322266894
wi_SE,WI SE (135°),0.07744884605560198
dr_E,Dir. Relief E,0.3116613107132274
dr_SE,Dir. Relief SE,0.26450527229627613
dr_SW,Dir. Relief SW,0.21883603959573955
dr_W,Dir. Relief W,0.4724775317187938
