feature,feature_label,importance
slope,Slope (°),0.00811179105640778
tpi_50px,TPI 50px (5 m),0.07834043215147549
tpi_250px,TPI 250px (25 m),0.6776626122618313
tpi_500px,TPI 500px (50 m),0.08789896149656047
wi_E,WI E (90°),0.08885373191918812
wi_SE,WI SE (135°),0.039134884935202584
dr_E,Dir. Relief E,0.28190367703220587
dr_SE,Dir. Relief SE,0.17755915024927646
dr_SW,Dir. Relief SW,0.28994366215594913
dr_W,Dir. Relief W,0.20614065871072676
