feature,feature_label,importance
slope,Slope (°),0.002757314523302412
tpi_50px,TPI 50px (5 m),0.0236536022139582
tpi_250px,TPI 250px (25 m),0.21498551633507007
tpi_500px,TPI 500px (50 m),0.08816772501526379
wi_E,WI E (90°),0.11794359535635275
wi_SE,WI SE (135°),0.008843300040385615
dr_E,Dir. Relief E,0.3285447207069044
dr_SE,Dir. Relief SE,0.4108234557514569
dr_SW,Dir. Relief SW,0.3532638966824403
dr_W,Dir. Relief W,0.30340422293887304
