feature,feature_label,importance
slope,Slope (°),0.0072888285170408795
tpi_50px,TPI 50px (5 m),0.06904802049636476
tpi_250px,TPI 250px (25 m),0.6814725702946467
tpi_500px,TPI 500px (50 m),0.09005839869129238
wi_E,WI E (90°),0.466590988614538
wi_SE,WI SE (135°),0.09177586058138146
dr_E,Dir. Relief E,0.17673266881875255
dr_SE,Dir. Relief SE,0.21166632681146624
dr_SW,Dir. Relief SW,0.23944056133269212
dr_W,Dir. Relief W,0.1523090265685358
